M20_distances_tr_wLabels	M20_distances_tr_wBootstraps	iqtree_FAMSA_AAonly_trim35	iqtree_FAMSA_AAonly_trim35_allmodels	iqtree_FAMSA_AAonly_full	iqtree_FAMSA_AAonly_full_allmodels	iqtree_FAMSA3di_3diFull	iqtree_FAMSA3di_3diFull_allmodels	iqtree_FAMSA3di_3diTrim35	iqtree_FAMSA3di_3diTrim35_allmodels	iqtree_FAMSA3di_AAfull	iqtree_FAMSA3di_AAfull_allmodels	iqtree_FAMSA3di_AA_trim35	iqtree_FAMSA3di_AA_trim35_allmodels	iqtree_FAMSA3di_BothFull	iqtree_FAMSA3di_BothFull_allmodels	iqtree_FAMSA3di_BothFullNonPart	iqtree_FAMSA3di_BothFullNonPart_allmodels	iqtree_FAMSA3di_BothTrim35	iqtree_FAMSA3di_BothTrim35_allmodels	iqtree_FAMSA3di_BothTrim35NonPart	iqtree_FAMSA3di_BothTrim35NonPart_allmodels	iqtree_USaln_3di_Full	iqtree_USaln_3di_Trim	iqtree_USaln_AAs_Full	iqtree_USaln_AAs_Trim	iqtree_USaln_Both_Full	iqtree_USaln_Both_Full_allmodels	iqtree_USaln_Both_Trim	iqtree_USaln_Both_Trim_allmodels	iqtrAF_FAMSA3di_3diFull	iqtrAF_FAMSA3di_3diFull_allmodels	iqtrAF_FAMSA3di_3diTrim35	iqtrAF_FAMSA3di_3diTrim35_allmodels	iqtrAF_FAMSA3di_AAfull	iqtrAF_FAMSA3di_AAfull_allmodels	iqtrAF_FAMSA3di_AA_trim35	iqtrAF_FAMSA3di_AA_trim35_allmodels	iqtrAF_FAMSA3di_BothFull	iqtrAF_FAMSA3di_BothFull_allmodels	iqtrAF_FAMSA3di_BothFullNonPart	iqtrAF_FAMSA3di_BothFullNonPart_allmodels	iqtrAF_FAMSA3di_BothTrim35	iqtrAF_FAMSA3di_BothTrim35_allmodels	iqtrAF_FAMSA3di_BothTrim35NonPart	iqtrAF_FAMSA3di_BothTrim35NonPart_allmodels	iqtrAF_USaln_3diFull	iqtrAF_USaln_3diFull_allmodels	iqtrAF_USaln_3diTrim35	iqtrAF_USaln_3diTrim35_allmodels	iqtrAF_USaln_AAfull	iqtrAF_USaln_AAfull_allmodels	iqtrAF_USaln_AA_trim35	iqtrAF_USaln_AA_trim35_allmodels	iqtrAF_USaln_BothFull	iqtrAF_USaln_BothFull_allmodels	iqtrAF_USaln_BothFullNonPart	iqtrAF_USaln_BothFullNonPart_allmodels	iqtrAF_USaln_BothTrim35	iqtrAF_USaln_BothTrim35_allmodels	iqtrAF_USaln_BothTrim35NonPart	iqtrAF_USaln_BothTrim35NonPart_allmodels
12			81	82	70	74	99	63	99	52	88	92	76	85	100	100	100	92	100	100	100	100	97	96	96	95	100	99	100	100	96	91	93	98	96	96	94	97	99	100	100	100	100	100	99	100	86	88	90	93	98	97	96	99	100	100	100	100	99	100	100	100
13			70	69	65	69	NA	NA	NA	NA	68	77	84	80	74	76	65	66	67	65	61	65	NA	NA	50	40	82	75	77	69	NA	NA	NA	NA	40	52	39	53	65	NA	NA	NA	60	NA	NA	NA	NA	NA	NA	NA	67	68	78	66	55	NA	NA	NA	NA	NA	NA	NA
14			NA	NA	NA	NA	70	83	77	74	NA	NA	NA	NA	63	73	65	66	65	76	66	63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37	NA	NA	NA	NA	NA	NA	NA	NA	NA	33	NA	NA	NA	42	54	45	55	NA	NA	NA	NA	NA	54	49	50	36	55	NA	45
15			63	58	57	62	NA	NA	NA	NA	45	48	62	58	NA	NA	NA	NA	42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36	35	38	46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55	58	67	62	27	NA	NA	NA	NA	NA	NA	NA
16	Dps_and_related_clade1		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	69	NA	59	56	60	NA	56	58	88	57	NA	NA	89	89	57	65	94	68	73	39	NA	NA	NA	NA	96	94	95	97	87	89	94	94	98	97	99	96	NA	NA	NA	NA	98	97	100	99	96	97	100	99
17			88	88	93	93	NA	NA	NA	NA	97	97	99	99	93	94	96	96	88	92	97	96	NA	NA	98	100	97	98	98	99	56	NA	NA	NA	95	98	98	97	94	90	91	89	95	89	90	90	87	81	86	78	93	94	94	93	99	97	99	98	99	95	98	97
18			99	99	98	99	96	88	97	90	95	95	96	96	99	95	98	98	99	98	98	97	93	98	100	100	100	100	100	100	72	91	84	94	100	98	100	97	93	96	99	98	95	95	98	98	79	84	88	89	100	99	98	100	100	99	100	100	99	100	100	100
19			100	100	100	100	98	87	97	93	100	100	100	100	100	99	99	99	100	97	99	99	79	84	100	100	100	100	99	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
20			100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	94	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
21	Bacterioferritins	6	75	76	77	72	NA	53	NA	NA	82	NA	79	NA	91	71	91	88	89	71	87	91	NA	NA	70	53	51	NA	50	32	NA	NA	NA	NA	NA	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	62	48	46	NA	60	NA	62	60	66	62	75	75
22			100	100	100	100	88	NA	92	79	100	85	100	90	99	98	100	100	100	99	100	100	52	49	99	100	100	100	100	100	93	NA	83	49	97	100	97	100	100	98	100	100	99	98	100	100	72	NA	90	76	100	100	99	100	99	97	100	100	99	100	100	100
23			100	100	100	100	54	NA	46	NA	100	98	100	97	96	96	99	100	96	96	99	99	85	41	99	99	99	100	95	96	84	NA	87	NA	100	100	100	99	94	98	99	99	97	98	99	99	75	67	87	79	100	100	100	100	99	99	100	100	100	100	100	100
24			100	100	100	100	69	NA	63	NA	100	100	100	99	100	99	100	100	100	99	100	100	NA	NA	100	100	92	92	95	94	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
