analysis_names	sum_matches	sum_deepnodes	sum_M20boots	trlen	sumBoots	DoNotConflict	ExplicitlyAgree	StrictJointAssertions	SemiStrictJointAssertions	SymmetricDifference	MarczewskiSteinhaus	SteelPenny	QuartetDivergence	SimilarityToReference	RFdist	relRFdist	symDiff	branchscoreDiff	pathDiff	quadPathDiff	symDiff_s1	branchscoreDiff_s1	pathDiff_s1	quadPathDiff_s1	relSymDiff	relBranchscore	relPathDiff	relQuadPathDiff	relSymDiff_s1	relBranchscore_s1	relPathDiff_s1	relQuadPathDiff_s1	spr	spr_extra	rf	hdist	RF	normRF	normSim_RF	wRF	norm_wRF	normSim_wRF	KF	pathDist	spr_s1	spr_extra_s1	rf_s1	hdist_s1	RF_s1	normRF_s1	normSim_RF_s1	wRF_s1	norm_wRF_s1	normSim_wRF_s1	KF_s1	pathDist_s1	n	best_lnL	best_lnL_k	best_lnL_k_wo_brlens	best_lnL_Model	best_AIC	best_AIC_lnL	best_AIC_k	best_AIC_k_wo_brlens	best_AIC_Model	best_AICc	best_AICc_lnL	best_AICc_k	best_AICc_k_wo_brlens	best_AICc_Model	best_BIC	best_BIC_lnL	best_BIC_k	best_BIC_k_wo_brlens	best_BIC_Model
tdists.10	iqtree_FAMSA3di_AAfull	36	18	10	55.8296661763	4009	0.96394433535388	0.96394433535388	0.96394433535388	0.96394433535388	0.96394433535388	0.930398209523935	0.96394433535388	0.96394433535388	0.96394433535388	564534	0.96394433535388	30	6.85999445720398	65.1920240520265	176.894844847678	30	0.074914670404899	65.1920240520265	0.968917755788019	0.483870967741935	0.39697314939918	0.374197436744011	0.392923219060648	0.483870967741935	0.682413384278041	0.374197436744011	0.406646403690225	10	6	30	46	30	0.3	0.7	47.9760993909	0.738019560152183	0.261980439847817	6.85999445720398	65.1920240520265	10	6	30	46	30	0.3	0.7	0.548212373768515	0.274106186884257	0.725893813115743	0.074914670404899	65.1920240520265	791	-24783.553	128	25	Blosum62+F+R4	49822.935	-24785.468	126	23	Blosum62+F+R3	49871.134	-24785.468	126	23	Blosum62+F+R3	50404.908	-24792.046	123	20	Blosum62+F+G4
tdists.11	iqtree_FAMSA3di_AAfull_allmodels	32	16	7	57.8790943758	4087	0.943911892768719	0.943911892768719	0.943911892768719	0.943911892768719	0.943911892768719	0.893781386520247	0.943911892768719	0.943911892768719	0.943911892768718	552802	0.943911892768719	38	7.24816844310018	69.5125887879311	190.952761657979	38	0.0798942781864226	69.5125887879311	1.09263443971357	0.612903225806452	0.419435944472466	0.398997161449165	0.424149012730026	0.612903225806452	0.727773671925312	0.398997161449165	0.458569226132353	11	7	38	56	38	0.38	0.62	50.3496667654	0.75086031506285	0.24913968493715	7.24816844310018	69.5125887879311	11	7	38	56	38	0.38	0.62	0.603618419461172	0.301809209730586	0.698190790269414	0.0798942781864226	69.5125887879311	791	-24768.095	126	23	VT+F+R3	49788.19	-24768.095	126	23	VT+F+R3	49836.389	-24768.095	126	23	VT+F+R3	50376.222	-24777.703	123	20	VT+F+G4
tdists.12	iqtree_FAMSA3di_AA_trim35	30	14	8	54.8890844674	4184	0.950448219926577	0.950448219926577	0.950448219926577	0.950448219926577	0.950448219926577	0.905575349374461	0.950448219926577	0.950448219926577	0.950448219926577	556630	0.950448219926577	42	7.19120250886971	73.2256785560912	178.113998915866	42	0.0897545858510439	73.2256785560912	1.17839914828967	0.67741935483871	0.416139448176293	0.420310024392907	0.395631234330487	0.67741935483871	0.817593274508745	0.420310024392907	0.494563932698182	11	4	42	58	42	0.42	0.58	48.0734214718	0.750373855300281	0.249626144699719	7.19120250886971	73.2256785560912	11	4	42	58	42	0.42	0.58	0.680800235300173	0.340400117650086	0.659599882349914	0.0897545858510439	73.2256785560912	206	-18633.186	128	25	Blosum62+F+R4	37522.373	-18633.186	128	25	Blosum62+F+R4	37834.161	-18704.961	104	1	LG+G4	37938.144	-18641.408	123	20	Blosum62+F+G4
tdists.13	iqtree_FAMSA3di_AA_trim35_allmodels	29	15	7	57.2733275095	4048	0.932048151626398	0.932048151626398	0.932048151626398	0.932048151626398	0.932048151626398	0.87274361015979	0.932048151626398	0.932048151626398	0.932048151626398	545854	0.932048151626398	44	7.32011958218987	71.805292284065	187.582474536391	44	0.0852982397340146	71.805292284065	1.12633212116524	0.709677419354839	0.42359960239748	0.412157111365472	0.416662847341129	0.709677419354839	0.776999486685881	0.412157111365472	0.472711851647432	12	6	44	66	44	0.44	0.56	50.0219173393	0.75277297850073	0.24722702149927	7.32011958218987	71.805292284065	12	6	44	66	44	0.44	0.56	0.658739152522159	0.329369576261079	0.670630423738921	0.0852982397340146	71.805292284065	206	-18629.786	126	23	VT+F+R3	37511.572	-18629.786	126	23	VT+F+R3	37813.312	-18694.537	104	1	Q.pfam+G4	37930.884	-18629.786	126	23	VT+F+R3
tdists.14	iqtree_FAMSA3di_BothFull	39	20	10	40.7795606751	4190	0.984495859301631	0.984495859301631	0.984495859301631	0.984495859301631	0.984495859301631	0.969465135439611	0.984495859301631	0.984495859301631	0.984495859301631	576570	0.984495859301631	24	4.50063334691703	50.2991053598372	113.948803299119	24	0.061570626910778	50.2991053598372	0.740527468699793	0.387096774193548	0.260441987987382	0.28871317572756	0.253105909552944	0.387096774193548	0.560859704183614	0.28871317572756	0.310792975133051	7	5	24	37	24	0.24	0.76	32.3880317433	0.648325503955004	0.351674496044996	4.50063334691703	50.2991053598372	7	5	24	37	24	0.24	0.76	0.457508314436431	0.228754157218216	0.771245842781784	0.061570626910778	50.2991053598372	1582	-39984.6209	151	48	Blosum62+F+G4; 3DI+F+R5	80271.2418	-39984.6209	151	48	Blosum62+F+G4; 3DI+F+R5	80303.3425	-39984.6209	151	48	Blosum62+F+G4; 3DI+F+R5	81081.575	-39984.6209	151	48	Blosum62+F+G4; 3DI+F+R5
tdists.15	iqtree_FAMSA3di_BothFull_allmodels	38	20	9	57.94603183215	4147	0.919535558780842	0.919535558780842	0.919535558780842	0.919535558780842	0.919535558780842	0.851055827198968	0.919535558780842	0.919535558780842	0.919535558780842	538526	0.919535558780842	28	7.07960999001356	51.9037570894439	176.467470151559	28	0.0658794688647185	51.9037570894439	0.801262395371545	0.451612903225806	0.409681828722506	0.297923758967106	0.39197392378023	0.451612903225806	0.600109845767571	0.297923758967106	0.336282898670855	10	8	28	37	28	0.28	0.72	49.55756340215	0.738310738850147	0.261689261149853	7.07960999001356	51.9037570894439	10	8	28	37	28	0.28	0.72	0.482402766092995	0.241201383046498	0.758798616953502	0.0658794688647185	51.9037570894439	1582	-40913.4655	151	48	VT+F+G4; PMB+F+R5	82128.931	-40913.4655	151	48	VT+F+G4; PMB+F+R5	82161.0317	-40913.4655	151	48	VT+F+G4; PMB+F+R5	82939.2643	-40913.4655	151	48	VT+F+G4; PMB+F+R5
tdists.16	iqtree_FAMSA3di_BothFullNonPart	36	19	9	37.379298186	4269	0.902016562793477	0.902016562793477	0.902016562793477	0.902016562793477	0.902016562793477	0.821521101528069	0.902016562793477	0.902016562793477	0.902016562793477	528266	0.902016562793477	32	4.06268172404849	63.3561362458286	96.4611077572296	32	0.0608688277919593	63.3561362458286	0.575725269000782	0.516129032258065	0.235098667945478	0.363659575384152	0.214261806254238	0.516129032258065	0.554466869386798	0.363659575384152	0.241626916994982	11	9	32	49	32	0.32	0.68	29.2194169318	0.627616372584255	0.372383627415745	4.06268172404849	63.3561362458286	11	9	32	49	32	0.32	0.68	0.467276346570265	0.233638173285133	0.766361826714867	0.0608688277919593	63.3561362458286	1582.01	-43218.447	130	27	PMB+F+R5	86695.036	-43219.518	128	25	PMB+F+R4	86717.764	-43219.518	128	25	PMB+F+R4	87381.941	-43219.518	128	25	PMB+F+R4
tdists.17	iqtree_FAMSA3di_BothFullNonPart_allmodels	36	18	9	37.8933963434	4219	0.843647229573978	0.843647229573978	0.843647229573978	0.843647229573978	0.843647229573978	0.729576000637904	0.843647229573978	0.843647229573978	0.843647229573978	494082	0.843647229573978	32	4.17027644794511	71.5681493403316	96.8134907556575	32	0.0617232987761124	71.5681493403316	0.546280609153437	0.516129032258065	0.241324943589058	0.410795928260985	0.215044528114808	0.516129032258065	0.562250424101939	0.410795928260985	0.229269247870561	11	9	32	55	32	0.32	0.68	29.643352517	0.629768031375553	0.370231968624447	4.17027644794511	71.5681493403316	11	9	32	55	32	0.32	0.68	0.477003022495564	0.238501511247782	0.761498488752218	0.0617232987761124	71.5681493403316	1581.97	-43219.619	131	28	PMB+F+I+R5	86701.237	-43219.619	131	28	PMB+F+I+R5	86724.833	-43220.68	130	27	PMB+F+R5	87398.997	-43220.68	130	27	PMB+F+R5
tdists.18	iqtree_FAMSA3di_BothTrim35	37	20	10	34.30487249885	4163	0.983512336719884	0.983512336719884	0.983512336719884	0.983512336719884	0.983512336719884	0.967559540807585	0.983512336719884	0.983512336719884	0.983512336719884	575994	0.983512336719884	28	3.62875866316106	53.4041196912748	93.9280768514146	28	0.0644427103089327	53.4041196912748	0.81445398581072	0.451612903225806	0.209988472135259	0.306535730261993	0.208635375148515	0.451612903225806	0.5870221119079	0.306535730261993	0.341819295108013	8	5	28	43	28	0.28	0.72	26.12785404305	0.600892447231537	0.399107552768463	3.62875866316106	53.4041196912748	8	5	28	43	28	0.28	0.72	0.495644700242126	0.247822350121063	0.752177649878937	0.0644427103089327	53.4041196912748	412	-29156.4407	144	41	Blosum62+F+G4; 3DI+F+G4	58600.8813	-29156.4407	144	41	Blosum62+F+G4; 3DI+F+G4	58757.2858	-29156.4407	144	41	Blosum62+F+G4; 3DI+F+G4	59179.9087	-29156.4407	144	41	Blosum62+F+G4; 3DI+F+G4
tdists.19	iqtree_FAMSA3di_BothTrim35_allmodels	32	16	8	37.10229460465	4092	0.828040638606676	0.828040638606676	0.828040638606676	0.828040638606676	0.828040638606676	0.706543815326695	0.828040638606676	0.828040638606676	0.828040638606676	484942	0.828040638606676	40	4.35606805223502	97.8059302905504	105.00337726401	40	0.0759119522964977	97.8059302905504	0.885959196044554	0.645161290322581	0.252076304795981	0.56139886658343	0.233236107261019	0.645161290322581	0.691497833385896	0.56139886658343	0.371829413524157	12	8	40	83	40	0.4	0.6	29.37211870425	0.634672543939835	0.365327456060165	4.35606805223502	97.8059302905504	12	8	40	83	40	0.4	0.6	0.56885480607559	0.284427403037795	0.715572596962205	0.0759119522964977	97.8059302905504	412	-29741.4933	148	45	VT+F+R3; PMB+F+I+G4	59778.9866	-29741.4933	148	45	VT+F+R3; PMB+F+I+G4	59946.6824	-29741.4933	148	45	VT+F+R3; PMB+F+I+G4	60374.098	-29741.4933	148	45	VT+F+R3; PMB+F+I+G4
tdists.20	iqtree_FAMSA3di_BothTrim35NonPart	38	20	10	34.9608117268	4255	0.98563647229574	0.98563647229574	0.98563647229574	0.98563647229574	0.98563647229574	0.971679723665207	0.98563647229574	0.98563647229574	0.98563647229574	577238	0.98563647229574	28	3.87934895863156	53.4789678284838	91.0887747377048	28	0.06736440077255	53.4789678284838	0.70736646002556	0.451612903225806	0.224489594464495	0.30696535308006	0.202328646835628	0.451612903225806	0.613636400755651	0.30696535308006	0.296875586541951	10	8	28	45	28	0.28	0.72	26.7307920172	0.605622850175945	0.394377149824055	3.87934895863156	53.4789678284838	10	8	28	45	28	0.28	0.72	0.508530306851381	0.254265153425691	0.745734846574309	0.06736440077255	53.4789678284838	412	-31645.838	130	27	PMB+F+R5	63550.764	-31647.382	128	25	PMB+F+R4	63667.456	-31647.382	128	25	PMB+F+R4	64065.455	-31647.382	128	25	PMB+F+R4
tdists.21	iqtree_FAMSA3di_BothTrim35NonPart_allmodels	37	20	10	35.0907259091	4230	0.983177665841373	0.983177665841373	0.983177665841373	0.983177665841373	0.983177665841373	0.966911949917884	0.983177665841373	0.983177665841373	0.983177665841373	575798	0.983177665841373	30	3.9160782572134	55.4436651025164	91.6162084834709	30	0.0681152658329561	55.4436651025164	0.711236302151387	0.483870967741935	0.226615040107959	0.318242571338144	0.20350019576011	0.483870967741935	0.620476187465496	0.318242571338144	0.298499725818909	10	6	30	48	30	0.3	0.7	26.8820354659	0.607262072740852	0.392737927259148	3.9160782572134	55.4436651025164	10	6	30	48	30	0.3	0.7	0.515772224058111	0.257886112029055	0.742113887970945	0.0681152658329561	55.4436651025164	412	-31644.746	132	29	PMB+F+R6	63551.537	-31645.769	130	27	PMB+F+R5	63672.747	-31645.769	130	27	PMB+F+R5	64074.27	-31645.769	130	27	PMB+F+R5
tdists.22	iqtree_USaln_3di_Full	22	14	6	19.4044905761	3783	0.761724579527021	0.761724579527021	0.761724579527021	0.761724579527021	0.761724579527021	0.615149559567345	0.761724579527021	0.761724579527021	0.761724579527021	446104	0.761724579527021	58	1.50252642592512	106.17909398747	48.64839656128	58	0.0642746266919771	106.17909398747	1.1903484931586	0.935483870967742	0.0869479780305969	0.609460212099024	0.108059025662714	0.935483870967742	0.585491003124154	0.609460212099024	0.499578969411441	13	9	58	114	58	0.58	0.42	12.5511863389	0.439138781834063	0.560861218165937	1.50252642592512	106.17909398747	13	9	58	114	58	0.58	0.42	0.535363160402331	0.267681580201165	0.732318419798835	0.0642746266919771	106.17909398747	989.99	-15612.481	126	23	3DI+F+R3	31476.963	-15612.481	126	23	3DI+F+R3	31514.048	-15612.481	126	23	3DI+F+R3	32094.074	-15612.481	126	23	3DI+F+R3
tdists.23	iqtree_USaln_3di_Trim	23	14	5	17.5225059279	3637	0.769206864168018	0.769206864168018	0.769206864168018	0.769206864168018	0.769206864168018	0.624968438459852	0.769206864168018	0.769206864168018	0.769206864168018	450486	0.769206864168018	56	1.35231782951366	108.683025353548	38.3861604263324	56	0.0704343846301479	108.683025353548	1.0331412727155	0.903225806451613	0.0782557290854585	0.623832594496932	0.0852642921000925	0.903225806451613	0.641601525111391	0.623832594496932	0.433600458391865	12	9	56	119	56	0.56	0.44	10.9872889675	0.411518481942103	0.588481518057897	1.35231782951366	108.683025353548	12	9	56	119	56	0.56	0.44	0.591603196082732	0.295801598041366	0.704198401958634	0.0704343846301479	108.683025353548	185	-8173.435	128	25	3DI+F+R4	16601.144	-8174.572	126	23	3DI+F+R3	17113.409	-8183.672	123	20	3DI+F+G4	17006.908	-8174.572	126	23	3DI+F+R3
tdists.24	iqtree_USaln_AAs_Full	36	18	9	58.5925677881	4183	0.947586442414411	0.947586442414411	0.947586442414411	0.947586442414411	0.947586442414411	0.900393610082648	0.947586442414411	0.947586442414411	0.947586442414411	554954	0.947586442414411	30	6.64573636791678	59.39696961967	197.222700265653	30	0.0742002945802835	59.39696961967	1.09151529352108	0.483870967741935	0.384574493828946	0.340934249323273	0.438075955955314	0.483870967741935	0.675905985640531	0.340934249323273	0.45809953015283	8	6	30	44	30	0.3	0.7	50.7186962839	0.748400661504532	0.251599338495468	6.64573636791678	59.39696961967	8	6	30	44	30	0.3	0.7	0.552893765824812	0.276446882912406	0.723553117087594	0.0742002945802835	59.39696961967	989.99	-24877.609	128	25	Blosum62+F+R4	50011.219	-24877.609	128	25	Blosum62+F+R4	50049.574	-24877.609	128	25	Blosum62+F+R4	50631.332	-24881.111	126	23	Blosum62+F+R3
tdists.25	iqtree_USaln_AAs_Trim	37	19	10	48.1850212758	4078	0.955475113122172	0.955475113122172	0.955475113122172	0.955475113122172	0.955475113122172	0.914746144515682	0.955475113122172	0.955475113122172	0.955475113122172	559574	0.955475113122172	28	5.24161182205267	58.7196730236128	152.607246484821	28	0.0728566498313217	58.7196730236128	1.00422834484447	0.451612903225806	0.303320821308115	0.337046616536204	0.338975002874906	0.451612903225806	0.663666444901038	0.337046616536204	0.421465952579915	8	6	28	43	28	0.28	0.72	40.3919106558	0.70415925613708	0.29584074386292	5.24161182205267	58.7196730236128	8	6	28	43	28	0.28	0.72	0.565463272565559	0.28273163628278	0.71726836371722	0.0728566498313217	58.7196730236128	185	-15160.702	128	25	Blosum62+F+R4	30577.404	-15160.702	128	25	Blosum62+F+R4	30923.368	-15221.184	104	1	Blosum62+G4	30975.959	-15208.69	107	4	Blosum62+R3
tdists.26	iqtree_USaln_Both_Full	34	19	9	35.9900114237	4234	0.840252710663365	0.840252710663365	0.840252710663365	0.840252710663365	0.840252710663365	0.724513623260101	0.840252710663365	0.840252710663365	0.840252710663365	492094	0.840252710663365	34	3.56586798097707	82.3893196961839	107.470888673777	34	0.0644651732043903	82.3893196961839	0.985672803124242	0.548387096774194	0.206349123396686	0.472908652457103	0.238717004836238	0.548387096774194	0.587226731115688	0.472908652457103	0.413678352173194	11	8	34	71	34	0.34	0.66	28.0865054935	0.62183841583121	0.37816158416879	3.56586798097707	82.3893196961839	11	8	34	71	34	0.34	0.66	0.508550926191721	0.25427546309586	0.74572453690414	0.0644651732043903	82.3893196961839	1980	-40816.9137	150	47	Blosum62+F+R3; 3DI+F+R3	81933.8274	-40816.9137	150	47	Blosum62+F+R3; 3DI+F+R3	81958.595	-40816.9137	150	47	Blosum62+F+R3; 3DI+F+R3	82772.4552	-40816.9137	150	47	Blosum62+F+R3; 3DI+F+R3
tdists.27	iqtree_USaln_Both_Full_allmodels	32	17	7	46.2664488711	4156	0.82844702467344	0.82844702467344	0.82844702467344	0.82844702467344	0.82844702467344	0.707135777998018	0.82844702467344	0.82844702467344	0.82844702467344	485180	0.82844702467344	38	4.98355976508152	79.3725393319377	146.872119735451	38	0.0666486931045434	79.3725393319377	1.01601244668502	0.612903225806452	0.288387902862795	0.45559255442309	0.326235997020757	0.612903225806452	0.607116870078436	0.45559255442309	0.426411638223049	11	8	38	78	38	0.38	0.62	38.3650122987	0.691968106961891	0.308031893038109	4.98355976508152	79.3725393319377	11	8	38	78	38	0.38	0.62	0.532621674043165	0.266310837021582	0.733689162978418	0.0666486931045434	79.3725393319377	1980	-41707.8337	151	48	Blosum62+F+G4; PMB+F+R5	83717.6674	-41707.8337	151	48	Blosum62+F+G4; PMB+F+R5	83742.779	-41707.8337	151	48	Blosum62+F+G4; PMB+F+R5	84561.8861	-41707.8337	151	48	Blosum62+F+G4; PMB+F+R5
