analysis_names	sum_matches	sum_deepnodes	sum_M20boots	trlen	sumBoots	DoNotConflict	ExplicitlyAgree	StrictJointAssertions	SemiStrictJointAssertions	SymmetricDifference	MarczewskiSteinhaus	SteelPenny	QuartetDivergence	SimilarityToReference	RFdist	relRFdist	symDiff	branchscoreDiff	pathDiff	quadPathDiff	symDiff_s1	branchscoreDiff_s1	pathDiff_s1	quadPathDiff_s1	relSymDiff	relBranchscore	relPathDiff	relQuadPathDiff	relSymDiff_s1	relBranchscore_s1	relPathDiff_s1	relQuadPathDiff_s1	spr	spr_extra	rf	hdist	RF	normRF	normSim_RF	wRF	norm_wRF	normSim_wRF	KF	pathDist	spr_s1	spr_extra_s1	rf_s1	hdist_s1	RF_s1	normRF_s1	normSim_RF_s1	wRF_s1	norm_wRF_s1	normSim_wRF_s1	KF_s1	pathDist_s1	n	best_lnL	best_lnL_k	best_lnL_k_wo_brlens	best_lnL_Model	best_AIC	best_AIC_lnL	best_AIC_k	best_AIC_k_wo_brlens	best_AIC_Model	best_AICc	best_AICc_lnL	best_AICc_k	best_AICc_k_wo_brlens	best_AICc_Model	best_BIC	best_BIC_lnL	best_BIC_k	best_BIC_k_wo_brlens	best_BIC_Model
tdists	M20_distances_tr_wLabels	52	22	10	9.17874401	0	1	1	1	1	1	1	1	1	1	585650	1	0	0.00133204250209969	0	0.0096944335792144	0	0.000148165369735013	0	0.00108411579616059	0	7.70824394233697e-05	0	2.15335164356801e-05	0	0.00134966930839044	0	0.00045499402509548	0	0	0	0	0	0	1	0.00186838	0.000101787901288196	0.999898212098712	0.00133204250209969	0	0	0	0	0	0	0	1	0.000407193052478955	0.000203596526239478	0.999796403473761	0.000148165369735013	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tdists.1	M20_distances_tr_wBootstraps	52	22	10	9.17874401	664	1	1	1	1	1	1	1	1	1	585650	1	0	0.00133204250209969	0	0.0096944335792144	0	0.000148165369735013	0	0.00108411579616059	0	7.70824394233697e-05	0	2.15335164356801e-05	0	0.00134966930839044	0	0.00045499402509548	0	0	0	0	0	0	1	0.00186838	0.000101787901288196	0.999898212098712	0.00133204250209969	0	0	0	0	0	0	0	1	0.000407193052478955	0.000203596526239478	0.999796403473761	0.000148165369735013	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tdists.2	iqtree_FAMSA_AAonly_trim35	30	12	6	63.74287998475	3924	0.850928028686075	0.850928028686075	0.850928028686075	0.850928028686075	0.850928028686075	0.740535014280322	0.850928028686075	0.850928028686075	0.850928028686075	498346	0.850928028686075	42	7.97608458697359	84.7112743381895	187.470695618956	42	0.0894889929603451	84.7112743381895	0.824837600053949	0.67741935483871	0.461558888730603	0.486236501805375	0.416414561235903	0.67741935483871	0.815173933378332	0.486236501805375	0.346177208216832	11	6	42	80	42	0.42	0.58	56.81893433295	0.779198090475454	0.220801909524546	7.97608458697359	84.7112743381895	11	6	42	80	42	0.42	0.58	0.649757912742189	0.324878956371095	0.675121043628905	0.0894889929603451	84.7112743381895	703	-24136.865	126	23	LG+F+R3	48523.96	-24138.98	123	20	LG+F+G4	48576.644	-24138.98	123	20	LG+F+G4	49084.269	-24138.98	123	20	LG+F+G4
tdists.3	iqtree_FAMSA_AAonly_trim35_allmodels	31	12	6	61.0568277323	3918	0.851419789976949	0.851419789976949	0.851419789976949	0.851419789976949	0.851419789976949	0.741280219306461	0.851419789976949	0.851419789976949	0.851419789976949	498634	0.851419789976949	40	7.56728028352787	82.7042925125413	176.774407306567	40	0.0892391694338723	82.7042925125413	0.799791517039049	0.645161290322581	0.437902261478323	0.474716573322252	0.392655700205646	0.645161290322581	0.812898238681269	0.474716573322252	0.335665583753668	11	7	40	75	40	0.4	0.6	54.0619982969	0.769744377824157	0.230255622175843	7.56728028352787	82.7042925125413	11	7	40	75	40	0.4	0.6	0.644391195704597	0.322195597852299	0.677804402147701	0.0892391694338723	82.7042925125413	703	-24129.861	123	20	Q.pfam+F+G4	48505.722	-24129.861	123	20	Q.pfam+F+G4	48558.406	-24129.861	123	20	Q.pfam+F+G4	49066.031	-24129.861	123	20	Q.pfam+F+G4
tdists.4	iqtree_FAMSA_AAonly_full	29	10	5	66.00548994215	3889	0.875447793050457	0.875447793050457	0.875447793050457	0.875447793050457	0.875447793050457	0.778485683137107	0.875447793050457	0.875447793050457	0.875447793050457	512706	0.875447793050457	44	8.51502044529624	87.086164228309	195.711432859181	44	0.0968093475708071	87.086164228309	0.888475518362507	0.709677419354839	0.492745949644016	0.499868195595443	0.434719091289621	0.709677419354839	0.881856572931319	0.499868195595443	0.372885492241889	12	9	44	70	44	0.44	0.56	59.45497602275	0.790810126421109	0.209189873578891	8.51502044529624	87.086164228309	12	9	44	70	44	0.44	0.56	0.706819382194865	0.353409691097432	0.646590308902568	0.0968093475708071	87.086164228309	225	-18766.927	128	25	LG+F+R4	37789.333	-18768.667	126	23	LG+F+R3	38016.922	-18813.461	104	1	LG+G4	38190.197	-18813.461	104	1	LG+G4
tdists.5	iqtree_FAMSA_AAonly_full_allmodels	30	10	5	62.1042721971	3815	0.894872364039956	0.894872364039956	0.894872364039956	0.894872364039956	0.894872364039956	0.809745711645844	0.894872364039956	0.894872364039956	0.894872364039956	524082	0.894872364039956	42	7.85792005691184	73.7292343646671	182.603286433189	42	0.0963106597281994	73.7292343646671	0.829136928032456	0.67741935483871	0.454720961099827	0.423200397802333	0.405602951166634	0.67741935483871	0.877313921184566	0.423200397802333	0.347981598992314	12	8	42	59	42	0.42	0.58	55.4729360079	0.778227311132187	0.221772688867813	7.85792005691184	73.7292343646671	12	8	42	59	42	0.42	0.58	0.702633882257444	0.351316941128722	0.648683058871278	0.0963106597281994	73.7292343646671	225	-18755.175	123	20	Q.pfam+F+G4	37756.349	-18755.175	123	20	Q.pfam+F+G4	37998.332	-18804.166	104	1	Q.pfam+G4	38171.607	-18804.166	104	1	Q.pfam+G4
tdists.6	iqtree_FAMSA3di_3diFull	24	12	6	17.8854897922	3713	0.863225475966874	0.863225475966874	0.863225475966874	0.863225475966874	0.863225475966874	0.759363847198356	0.863225475966874	0.863225475966874	0.863225475966874	505548	0.863225475966874	54	1.30355088245959	108.590975683986	35.3248568551218	54	0.0603441469304712	108.590975683986	0.800724765107668	0.870967741935484	0.0754336905722485	0.623304236144753	0.0784644486407894	0.870967741935484	0.549687441800468	0.623304236144753	0.336057259898096	14	11	54	103	54	0.54	0.46	10.759491459	0.39758133818464	0.60241866181536	1.30355088245959	108.590975683986	14	11	54	103	54	0.54	0.46	0.526571017753915	0.263285508876958	0.736714491123042	0.0603441469304712	108.590975683986	791	-14851.88	128	25	3DI+F+R4	29959.759	-14851.88	128	25	3DI+F+R4	30009.644	-14851.88	128	25	3DI+F+R4	30552.987	-14856.076	126	23	3DI+F+R3
tdists.7	iqtree_FAMSA3di_3diFull_allmodels	21	12	5	22.552149511	3551	0.721758729616665	0.721758729616665	0.721758729616665	0.721758729616665	0.721758729616665	0.564649840636279	0.721758729616665	0.721758729616665	0.721758729616665	422698	0.721758729616665	62	2.12555990432769	127.702779922757	54.1440330345575	62	0.0672200537436632	127.702779922757	0.979763906398858	1	0.1230015876429	0.733004590777001	0.120266069772601	1	0.612321513511794	0.733004590777001	0.411198439312891	16	10	62	141	62	0.62	0.38	15.6465270768	0.493129776514365	0.506870223485635	2.12555990432769	127.702779922757	16	10	62	141	62	0.62	0.38	0.557388579232339	0.278694289616169	0.721305710383831	0.0672200537436632	127.702779922757	791.01	-15763.908	128	25	PMB+F+R4	31783.816	-15763.908	128	25	PMB+F+R4	31833.701	-15763.908	128	25	PMB+F+R4	32373.919	-15773.215	124	21	PMB+F+I+G4
tdists.8	iqtree_FAMSA3di_3diTrim35	25	13	6	17.5569679343	3691	0.852072056689149	0.852072056689149	0.852072056689149	0.852072056689149	0.852072056689149	0.742269636046671	0.852072056689149	0.852072056689149	0.852072056689149	499016	0.852072056689149	52	1.31627402182066	107.721864075962	36.7556969834484	52	0.0632937323471583	107.721864075962	0.944608528580303	0.838709677419355	0.076169951327839	0.618315599257095	0.0816426662404449	0.838709677419355	0.576555831603689	0.618315599257095	0.396444031237605	13	8	52	98	52	0.52	0.48	10.3932320083	0.388766844666473	0.611233155333527	1.31627402182066	107.721864075962	13	8	52	98	52	0.52	0.48	0.530039471492222	0.265019735746111	0.734980264253889	0.0632937323471583	107.721864075962	206	-10215.442	128	25	3DI+F+R4	20686.884	-10215.442	128	25	3DI+F+R4	21070.548	-10226.274	123	20	3DI+F+G4	21107.522	-10218.105	126	23	3DI+F+R3
tdists.9	iqtree_FAMSA3di_3diTrim35_allmodels	21	11	4	18.87955322385	3613	0.690245026893196	0.690245026893196	0.690245026893196	0.690245026893196	0.690245026893196	0.527003173162916	0.690245026893196	0.690245026893196	0.690245026893196	404242	0.690245026893196	62	1.66619842925471	174.218253923061	45.3286677301514	62	0.0719524436838712	174.218253923061	1.18504129571424	1	0.0964193254253446	1	0.100685161603201	1	0.655429842192494	1	0.497351584536375	16	11	62	182	62	0.62	0.38	12.03304201185	0.428887157183541	0.571112842816459	1.66619842925471	174.218253923061	16	11	62	182	62	0.62	0.38	0.599382567989387	0.299691283994694	0.700308716005307	0.0719524436838712	174.218253923061	206	-10800.23	128	25	PMB+F+R4	21856.461	-10800.23	128	25	PMB+F+R4	22240.819	-10811.41	123	20	PMB+F+G4	22276.406	-10807.875	124	21	PMB+F+I+G4
