M20_distances_tr_wLabels	M20_distances_tr_wBootstraps	iqtree_FAMSA_AAonly_trim35	iqtree_FAMSA_AAonly_trim35_allmodels	iqtree_FAMSA_AAonly_full	iqtree_FAMSA_AAonly_full_allmodels	iqtree_FAMSA3di_3diFull	iqtree_FAMSA3di_3diFull_allmodels	iqtree_FAMSA3di_3diTrim35	iqtree_FAMSA3di_3diTrim35_allmodels	iqtree_FAMSA3di_AAfull	iqtree_FAMSA3di_AAfull_allmodels	iqtree_FAMSA3di_AA_trim35	iqtree_FAMSA3di_AA_trim35_allmodels	iqtree_FAMSA3di_BothFull	iqtree_FAMSA3di_BothFull_allmodels	iqtree_FAMSA3di_BothFullNonPart	iqtree_FAMSA3di_BothFullNonPart_allmodels	iqtree_FAMSA3di_BothTrim35	iqtree_FAMSA3di_BothTrim35_allmodels	iqtree_FAMSA3di_BothTrim35NonPart	iqtree_FAMSA3di_BothTrim35NonPart_allmodels	iqtree_USaln_3di_Full	iqtree_USaln_3di_Trim	iqtree_USaln_AAs_Full	iqtree_USaln_AAs_Trim	iqtree_USaln_Both_Full	iqtree_USaln_Both_Full_allmodels	iqtree_USaln_Both_Trim	iqtree_USaln_Both_Trim_allmodels	iqtrAF_FAMSA3di_3diFull	iqtrAF_FAMSA3di_3diFull_allmodels	iqtrAF_FAMSA3di_3diTrim35	iqtrAF_FAMSA3di_3diTrim35_allmodels	iqtrAF_FAMSA3di_AAfull	iqtrAF_FAMSA3di_AAfull_allmodels	iqtrAF_FAMSA3di_AA_trim35	iqtrAF_FAMSA3di_AA_trim35_allmodels	iqtrAF_FAMSA3di_BothFull	iqtrAF_FAMSA3di_BothFull_allmodels	iqtrAF_FAMSA3di_BothFullNonPart	iqtrAF_FAMSA3di_BothFullNonPart_allmodels	iqtrAF_FAMSA3di_BothTrim35	iqtrAF_FAMSA3di_BothTrim35_allmodels	iqtrAF_FAMSA3di_BothTrim35NonPart	iqtrAF_FAMSA3di_BothTrim35NonPart_allmodels	iqtrAF_USaln_3diFull	iqtrAF_USaln_3diFull_allmodels	iqtrAF_USaln_3diTrim35	iqtrAF_USaln_3diTrim35_allmodels	iqtrAF_USaln_AAfull	iqtrAF_USaln_AAfull_allmodels	iqtrAF_USaln_AA_trim35	iqtrAF_USaln_AA_trim35_allmodels	iqtrAF_USaln_BothFull	iqtrAF_USaln_BothFull_allmodels	iqtrAF_USaln_BothFullNonPart	iqtrAF_USaln_BothFullNonPart_allmodels	iqtrAF_USaln_BothTrim35	iqtrAF_USaln_BothTrim35_allmodels	iqtrAF_USaln_BothTrim35NonPart	iqtrAF_USaln_BothTrim35NonPart_allmodels
11	0.57845033853378	0.57845033853378	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12	0.644100935571345	0.644100935571345	0.79426342687421	0.796171189010826	0.685479593709442	0.656511725912437	0.56889440392402	0.433416335443287	0.640122864789687	0.411626750960544	0.865783819391477	0.683610281814582	0.79404327495592	0.669696011808407	0.848804253034773	0.778826558201434	0.712724426912327	0.672655120561057	0.842751084820718	0.561213070781064	0.674561953446968	0.664482264293906	0.305785358606352	0.305771597907362	0.791366579024005	0.772390390875716	0.388006223053439	0.384996047765397	0.374482795674937	0.343905187081989	0.436287795218361	0.544948293124525	0.561653876992567	0.601403304465186	0.666092260842006	0.856017987019119	0.297401822163174	0.42623944215215	0.517061748256584	0.62909839933183	0.577182516798961	0.595134866937847	0.565855347172527	0.609224594432541	0.594060612514008	0.610092153915398	0.362857510763992	0.342415720668564	0.349827731783466	0.321011489335279	0.84296863858181	0.866748356730535	0.895105288666762	0.798812608334088	0.723464930658912	0.654622258523998	0.708794588553116	0.707571628081921	0.826872819911461	0.826807869793347	0.786206122394177	0.787043190087825
13	0.583814124455294	0.583814124455294	0.721882269689748	0.72035651324074	0.622527349483237	0.595513104111366	NA	NA	NA	NA	0.827518945709407	0.653656384529697	0.754844563978538	0.630076395871819	0.77795899980448	0.715200459884423	0.632636182334108	0.589567064012329	0.784887341332142	0.50773646567997	0.590495115663275	0.593931977298605	NA	NA	0.684837486486505	0.654980928010349	0.314173847622458	0.320782544730848	0.293289767432313	0.266526005485023	NA	NA	NA	NA	0.621589315852016	0.800915449481187	0.252002432823667	0.387937464040559	0.462938994053969	NA	NA	NA	0.50138248327064	NA	NA	NA	NA	NA	NA	NA	0.773419316268332	0.813097820322357	0.861398056410819	0.737810976058612	0.655511230402098	NA	NA	NA	NA	NA	NA	NA
14	0.599937503741956	0.599937503741956	NA	NA	NA	NA	0.540556435611359	0.41217017933396	0.603017229872388	0.428292544549202	NA	NA	NA	NA	0.823357714323481	0.763006647523727	0.68600767284241	0.643331986981707	0.801676207767717	0.546079940027797	0.63849655504159	0.63817796388202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.513576085924493	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.528139068809785	NA	NA	NA	0.360343721394669	0.352825920436672	0.347360357615696	0.318472369349304	NA	NA	NA	NA	NA	0.598934819751837	0.63347734273504	0.632511978750112	0.765196710439023	0.764699345514055	NA	0.705783590903794
15	0.617694609276759	0.617694609276759	0.757855272956508	0.757345673131941	0.653327061973674	0.62549150369247	NA	NA	NA	NA	0.860806603971414	0.68173745856055	0.781673169581864	0.65855380685613	NA	NA	NA	NA	0.806141119927714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.639357174201226	0.831552825969554	0.270008257783033	0.407161766879438	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.816256314069692	0.844641018915182	0.892219269451859	0.770662077527169	0.689437481398354	NA	NA	NA	NA	NA	NA	NA
16	0.482244923193398	0.482244923193398	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.707867039386945	NA	0.580014669066432	0.530351378438448	0.717561834759325	NA	0.561401642377741	0.553712828431212	0.333329965323285	0.312016810315049	NA	NA	0.329770589051406	0.330296031792226	0.288551948459417	0.260720243622331	0.394821373810387	0.360927022792977	0.462198047495345	0.425977788879731	NA	NA	NA	NA	0.42741906749384	0.470578366843243	0.460308656185757	0.474364328236602	0.504904218493941	0.464958273372501	0.483105900688108	0.496689038091737	0.34473352903088	0.39138578318824	0.438241907129964	0.394515786568963	NA	NA	NA	NA	0.656308832408061	0.58937330004602	0.619842275375764	0.618983123466364	0.740458218865184	0.75495658346658	0.692887156739455	0.693633922442063
17	0.563640660764966	0.563640660764966	0.69127938841472	0.685479147509683	0.607817906390121	0.57754024751764	NA	NA	NA	NA	0.819979472444117	0.641017579686239	0.866637221922642	0.750565808061689	0.783911203399038	0.699103096462041	0.664889112110167	0.617863776110252	0.790120878125695	0.502633716762366	0.640220605320145	0.631153047096674	NA	NA	0.727600001855813	0.720404134751849	0.403289411705048	0.398273997202486	0.374237949184202	0.33833009981008	0.44589221840868	NA	NA	NA	0.614955757701249	0.784608821985223	0.252596109425202	0.390254824827681	0.498410431118608	0.537456290835198	0.531213319442506	0.546356686277679	0.564542130144038	0.521771754073947	0.552491103026098	0.566348449524683	0.400867579811307	0.435404265466948	0.499674876673718	0.441389000870125	0.747374215908939	0.801147078100465	0.837494471989604	0.722533543368492	0.745407090212411	0.659463043805294	0.706704387367623	0.705792659201766	0.829096955869127	0.827947891591107	0.784952765814729	0.785521739006046
18	0.640846798389735	0.640846798389735	0.794394089725795	0.79187105995561	0.699366820811161	0.672350628581082	0.650338519063484	0.41442756396435	0.716285791870095	0.467308967980364	0.914063440571179	0.719028832812965	0.934578886122613	0.820263683050943	0.889872188550723	0.796904189031146	0.783498826650302	0.742379719931742	0.896030664921297	0.587913281707433	0.748222885866269	0.73494909754118	0.452642503610188	0.480770442686367	0.869762431797641	0.866623556161542	0.509643015345628	0.496775455792857	0.489948220005715	0.454458172341093	0.508704208913416	0.485833887170592	0.59136822416386	0.54070074492213	0.66837422589312	0.870429258834186	0.303023670776687	0.450642964535057	0.586960845314006	0.614480734101754	0.628247815563668	0.644209517103912	0.639180521512952	0.594072914986252	0.64424026062057	0.658419322077278	0.453185275030401	0.48463099823845	0.556374205190216	0.493510262066235	0.87427923428252	0.904484357961318	0.924021932863482	0.832608646679943	0.855758563250117	0.74233466177646	0.813175646763672	0.811994501863699	0.919749957337835	0.922227540604654	0.895610899849125	0.896067258687951
19	0.775295264245467	0.775295264245467	0.886534417551579	0.888102795734112	0.777045811131589	0.75183140237125	0.735494433692227	0.472215273666814	0.788805806373602	0.526151605180537	0.995297205479249	0.787569757254876	0.989806502960709	0.877189450398471	0.974268410320398	0.866617710064498	0.868239580455931	0.829483862842302	0.973038222993498	0.643252067813351	0.82035461867313	0.805286731688811	0.495843665011767	0.554908312029382	0.97035765806277	0.974660142759627	0.590616046722905	0.567130798934558	0.575231929801526	0.534125885150498	0.616850299692232	0.58907554847828	0.696971715098516	0.640711926645814	0.711325450695541	0.951136482006932	0.345916259477143	0.502904494618016	0.678694363070309	0.696289692042649	0.726795829860901	0.743693232778263	0.705038449965033	0.66584275477869	0.738058795833653	0.752641187096305	0.533905319556268	0.545680515424656	0.639248970347547	0.56653585260266	0.973372557877398	0.984589894265232	0.98916822025191	0.913281421445702	0.956645345870192	0.813905506587517	0.909642382646135	0.908202352165637	0.999999473405966	0.999999422389616	0.999999155597924	0.999999177259911
20	0.878028917396531	0.878028917396531	0.735493417802057	0.72858299896551	0.621464538783692	0.592063222960048	0.672717403650267	0.424164737731682	0.724979633041644	0.475809769181246	0.779681817521714	0.591383354872399	0.749472457462937	0.604232499244548	0.906594492562624	0.71903205200428	0.794493037984679	0.747807436116705	0.906954651572529	0.509689501022956	0.748448639728706	0.740496878884234	0.482687253126492	0.444086695941372	0.782239150081446	0.727942389539575	0.53368438646822	0.532013794227925	0.463617208164199	0.43643776352389	0.588490521950615	0.567603165355994	0.67622951677366	0.619708947550544	0.575043816981561	0.74662062606276	0.220804109602123	0.357875445732844	0.647693464798441	0.677627606547043	0.690445666830247	0.706700767751486	0.689053416814707	0.655784193707186	0.706645518033152	0.722583748103257	0.458281595607127	0.463072877266637	0.52099544124004	0.465231453937384	0.751852672774219	0.751841057010731	0.778273021421696	0.670622161489881	0.855751686005134	0.743594725475536	0.809426988855236	0.80842094643888	0.899903382286904	0.911536440428874	0.886965270192133	0.88606626100506
