analysis_names	sum_matches	DoNotConflict	ExplicitlyAgree	StrictJointAssertions	SemiStrictJointAssertions	SymmetricDifference	MarczewskiSteinhaus	SteelPenny	QuartetDivergence	SimilarityToReference	relRFdist
1	M20_distances_tr_wLabels	52	1	1	1	1	1	1	1	1	1	1
2	M20_distances_tr_wBootstraps	52	1	1	1	1	1	1	1	1	1	1
3	iqtree_FAMSA_AAonly_trim35	30	0.850928028686075	0.850928028686075	0.850928028686075	0.850928028686075	0.850928028686075	0.740535014280322	0.850928028686075	0.850928028686075	0.850928028686075	0.850928028686075
4	iqtree_FAMSA_AAonly_trim35_allmodels	31	0.851419789976949	0.851419789976949	0.851419789976949	0.851419789976949	0.851419789976949	0.741280219306461	0.851419789976949	0.851419789976949	0.851419789976949	0.851419789976949
5	iqtree_FAMSA_AAonly_full	29	0.875447793050457	0.875447793050457	0.875447793050457	0.875447793050457	0.875447793050457	0.778485683137107	0.875447793050457	0.875447793050457	0.875447793050457	0.875447793050457
6	iqtree_FAMSA_AAonly_full_allmodels	30	0.87878084179971	0.87878084179971	0.87878084179971	0.87878084179971	0.87878084179971	0.783772588411951	0.87878084179971	0.87878084179971	0.87878084179971	0.87878084179971
7	iqtree_FAMSA3di_3diFull	24	0.863225475966874	0.863225475966874	0.863225475966874	0.863225475966874	0.863225475966874	0.759363847198356	0.863225475966874	0.863225475966874	0.863225475966874	0.863225475966874
8	iqtree_FAMSA3di_3diFull_allmodels	21	0.721758729616665	0.721758729616665	0.721758729616665	0.721758729616665	0.721758729616665	0.564649840636279	0.721758729616665	0.721758729616665	0.721758729616665	0.721758729616665
9	iqtree_FAMSA3di_3diTrim35	25	0.852072056689149	0.852072056689149	0.852072056689149	0.852072056689149	0.852072056689149	0.742269636046671	0.852072056689149	0.852072056689149	0.852072056689149	0.852072056689149
10	iqtree_FAMSA3di_3diTrim35_allmodels	21	0.690245026893196	0.690245026893196	0.690245026893196	0.690245026893196	0.690245026893196	0.527003173162916	0.690245026893196	0.690245026893196	0.690245026893196	0.690245026893196
11	iqtree_FAMSA3di_AAfull	36	0.96394433535388	0.96394433535388	0.96394433535388	0.96394433535388	0.96394433535388	0.930398209523935	0.96394433535388	0.96394433535388	0.96394433535388	0.96394433535388
