analysis_names	sum_matches	DoNotConflict	ExplicitlyAgree	StrictJointAssertions	SemiStrictJointAssertions	SymmetricDifference	MarczewskiSteinhaus	SteelPenny	QuartetDivergence	SimilarityToReference	relRFdist
12	iqtree_FAMSA3di_AAfull_allmodels	32	0.943911892768719	0.943911892768719	0.943911892768719	0.943911892768719	0.943911892768719	0.893781386520247	0.943911892768719	0.943911892768719	0.943911892768718	0.943911892768719
13	iqtree_FAMSA3di_AA_trim35	30	0.950448219926577	0.950448219926577	0.950448219926577	0.950448219926577	0.950448219926577	0.905575349374461	0.950448219926577	0.950448219926577	0.950448219926577	0.950448219926577
14	iqtree_FAMSA3di_AA_trim35_allmodels	29	0.932048151626398	0.932048151626398	0.932048151626398	0.932048151626398	0.932048151626398	0.87274361015979	0.932048151626398	0.932048151626398	0.932048151626398	0.932048151626398
15	iqtree_FAMSA3di_BothFull	39	0.984495859301631	0.984495859301631	0.984495859301631	0.984495859301631	0.984495859301631	0.969465135439611	0.984495859301631	0.984495859301631	0.984495859301631	0.984495859301631
16	iqtree_FAMSA3di_BothFull_allmodels	38	0.919535558780842	0.919535558780842	0.919535558780842	0.919535558780842	0.919535558780842	0.851055827198968	0.919535558780842	0.919535558780842	0.919535558780842	0.919535558780842
17	iqtree_FAMSA3di_BothFullNonPart	36	0.902016562793477	0.902016562793477	0.902016562793477	0.902016562793477	0.902016562793477	0.821521101528069	0.902016562793477	0.902016562793477	0.902016562793477	0.902016562793477
18	iqtree_FAMSA3di_BothFullNonPart_allmodels	36	0.843647229573978	0.843647229573978	0.843647229573978	0.843647229573978	0.843647229573978	0.729576000637904	0.843647229573978	0.843647229573978	0.843647229573978	0.843647229573978
19	iqtree_FAMSA3di_BothTrim35	37	0.983512336719884	0.983512336719884	0.983512336719884	0.983512336719884	0.983512336719884	0.967559540807585	0.983512336719884	0.983512336719884	0.983512336719884	0.983512336719884
20	iqtree_FAMSA3di_BothTrim35_allmodels	32	0.828040638606676	0.828040638606676	0.828040638606676	0.828040638606676	0.828040638606676	0.706543815326695	0.828040638606676	0.828040638606676	0.828040638606676	0.828040638606676
21	iqtree_FAMSA3di_BothTrim35NonPart	38	0.98563647229574	0.98563647229574	0.98563647229574	0.98563647229574	0.98563647229574	0.971679723665207	0.98563647229574	0.98563647229574	0.98563647229574	0.98563647229574
