Model                  LogL         AIC AICp      w-AIC        AICc AICcp     w-AICc         BIC BICp      w-BIC
HIVw+I+R6        -29114.721   58457.442 -        0   58555.644 -        0   58907.220 -        0
HIVw+I+R4        -29137.237   58494.473 -        0   58584.584 -        0   58928.470 -        0
mtART+R6         -29277.112   58780.223 -        0   58876.358 -        0   59226.056 -        0
mtART+R5         -29288.200   58798.399 -        0   58890.488 -        0   59236.341 -        0
mtART+I+R5       -29293.258   58810.516 -        0   58904.613 -        0   59252.404 -        0
mtART+I+R6       -29289.562   58807.124 -        0   58905.326 -        0   59256.901 -        0
mtART+I+R4       -29361.604   58943.209 -        0   59033.319 -        0   59377.205 -        0
mtVer+R5         -29410.458   59042.916 -        0   59135.005 -        0   59480.858 -        0
mtVer+R6         -29409.896   59045.793 -        0   59141.927 -        0   59491.625 -        0
mtVer+I+R6       -29408.459   59044.919 -        0   59143.121 -        0   59494.697 -        0
mtVer+I+R5       -29416.113   59056.225 -        0   59150.322 -        0   59498.113 -        0
mtVer+I+R4       -29465.943   59151.887 -        0   59241.997 -        0   59585.883 -        0
mtMAM+R6         -29860.279   59946.557 -        0   60042.692 -        0   60392.390 -        0
mtMAM+R5         -29872.881   59967.763 -        0   60059.852 -        0   60405.705 -        0
mtMAM+I+R6       -29874.862   59977.723 -        0   60075.925 -        0   60427.501 -        0
mtMAM+I+R5       -29883.629   59991.258 -        0   60085.354 -        0   60433.145 -        0
mtMAM+I+R4       -29965.079   60150.159 -        0   60240.269 -        0   60584.155 -        0
