Model                  LogL         AIC AICp      w-AIC        AICc AICcp     w-AICc         BIC BICp      w-BIC
Q.yeast+F+I+R5   -26826.336   53914.673 - 2.91e-155   54053.009 - 2.11e-155   54431.523 - 1.31e-155
Q.yeast+F+I+R4   -26833.537   53925.074 - 1.6e-157   54058.169 - 1.6e-156   54434.033 - 3.72e-156
Q.yeast+F+I+R6   -26825.199   53916.397 - 1.23e-155   54060.123 - 6.01e-157   54441.138 - 1.07e-157
Q.yeast+F+R6     -26828.959   53921.918 - 7.77e-157   54062.930 - 1.48e-157   54442.714 - 4.85e-158
LG+F+I+R5        -26833.025   53928.050 - 3.62e-158   54066.386 - 2.62e-158   54444.900 - 1.63e-158
LG+F+R5          -26836.621   53933.243 - 2.7e-159   54068.940 - 7.32e-159   54446.148 - 8.71e-159
LG+F+I+R4        -26841.247   53940.493 - 7.19e-161   54073.588 - 7.16e-160   54449.452 - 1.67e-159
LG+F+I+R6        -26832.488   53930.976 - 8.38e-159   54074.702 - 4.1e-160   54455.717 - 7.28e-161
LG+F+R6          -26837.191   53938.382 - 2.07e-160   54079.394 - 3.93e-161   54459.177 - 1.29e-161
JTT+F+R5         -26846.855   53953.710 - 9.7e-164   54089.407 - 2.63e-163   54466.615 - 3.13e-163
JTT+F+I+R4       -26850.464   53958.928 - 7.14e-165   54092.023 - 7.11e-164   54467.887 - 1.66e-163
JTT+F+I+R5       -26844.729   53951.458 - 2.99e-163   54089.794 - 2.17e-163   54468.308 - 1.34e-163
JTT+F+R6         -26848.639   53961.279 - 2.21e-165   54102.291 - 4.19e-166   54482.074 - 1.38e-166
JTTDCMut+F+R5    -26859.284   53978.568 - 3.88e-169   54114.265 - 1.05e-168   54491.472 - 1.25e-168
JTTDCMut+F+I+R5  -26857.162   53976.325 - 1.19e-168   54114.661 - 8.64e-169   54493.175 - 5.35e-169
JTTDCMut+F+I+R4  -26863.686   53985.372 - 1.29e-170   54118.468 - 1.29e-169   54494.332 -   3e-169
JTTDCMut+F+I+R6  -26855.972   53977.944 - 5.3e-169   54121.670 - 2.6e-170   54502.685 - 4.61e-171
JTTDCMut+F+R6    -26860.911   53985.823 - 1.03e-170   54126.835 - 1.96e-171   54506.618 - 6.45e-172
cpREV+F+R5       -26911.144   54082.288 - 1.17e-191   54217.986 - 3.16e-191   54595.193 - 3.76e-191
cpREV+F+I+R5     -26908.288   54078.576 - 7.46e-191   54216.912 - 5.4e-191   54595.426 - 3.35e-191
