M20_distances_tr_wLabels	M20_distances_tr_wBootstraps	iqtree_FAMSA_AAonly_trim35	iqtree_FAMSA_AAonly_trim35_allmodels	iqtree_FAMSA_AAonly_full	iqtree_FAMSA_AAonly_full_allmodels	iqtree_FAMSA3di_3diFull	iqtree_FAMSA3di_3diFull_allmodels	iqtree_FAMSA3di_3diTrim35	iqtree_FAMSA3di_3diTrim35_allmodels	iqtree_FAMSA3di_AAfull	iqtree_FAMSA3di_AAfull_allmodels	iqtree_FAMSA3di_AA_trim35	iqtree_FAMSA3di_AA_trim35_allmodels	iqtree_FAMSA3di_BothFull	iqtree_FAMSA3di_BothFull_allmodels	iqtree_FAMSA3di_BothFullNonPart	iqtree_FAMSA3di_BothFullNonPart_allmodels	iqtree_FAMSA3di_BothTrim35	iqtree_FAMSA3di_BothTrim35_allmodels	iqtree_FAMSA3di_BothTrim35NonPart	iqtree_FAMSA3di_BothTrim35NonPart_allmodels	iqtree_USaln_3di_Full	iqtree_USaln_3di_Trim	iqtree_USaln_AAs_Full	iqtree_USaln_AAs_Trim	iqtree_USaln_Both_Full	iqtree_USaln_Both_Full_allmodels	iqtree_USaln_Both_Trim	iqtree_USaln_Both_Trim_allmodels	iqtrAF_FAMSA3di_3diFull	iqtrAF_FAMSA3di_3diFull_allmodels	iqtrAF_FAMSA3di_3diTrim35	iqtrAF_FAMSA3di_3diTrim35_allmodels	iqtrAF_FAMSA3di_AAfull	iqtrAF_FAMSA3di_AAfull_allmodels	iqtrAF_FAMSA3di_AA_trim35	iqtrAF_FAMSA3di_AA_trim35_allmodels	iqtrAF_FAMSA3di_BothFull	iqtrAF_FAMSA3di_BothFull_allmodels	iqtrAF_FAMSA3di_BothFullNonPart	iqtrAF_FAMSA3di_BothFullNonPart_allmodels	iqtrAF_FAMSA3di_BothTrim35	iqtrAF_FAMSA3di_BothTrim35_allmodels	iqtrAF_FAMSA3di_BothTrim35NonPart	iqtrAF_FAMSA3di_BothTrim35NonPart_allmodels	iqtrAF_USaln_3diFull	iqtrAF_USaln_3diFull_allmodels	iqtrAF_USaln_3diTrim35	iqtrAF_USaln_3diTrim35_allmodels	iqtrAF_USaln_AAfull	iqtrAF_USaln_AAfull_allmodels	iqtrAF_USaln_AA_trim35	iqtrAF_USaln_AA_trim35_allmodels	iqtrAF_USaln_BothFull	iqtrAF_USaln_BothFull_allmodels	iqtrAF_USaln_BothFullNonPart	iqtrAF_USaln_BothFullNonPart_allmodels	iqtrAF_USaln_BothTrim35	iqtrAF_USaln_BothTrim35_allmodels	iqtrAF_USaln_BothTrim35NonPart	iqtrAF_USaln_BothTrim35NonPart_allmodels
11	0.01040412	0.01040412	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12	0.0344639	0.0344639	0.3253398773	0.3296992785	0.3287521032	0.3328215484	0.151459549	0.0539245339	0.1506255598	0.035010806	0.3651816838	0.3692688295	0.2229016398	0.2255378736	0.3056440512	0.4180591995	0.2749415183	0.2814689182	0.2553921188	0.2765070372	0.2372179493	0.2711385982	0.1167034131	0.1060775769	0.3593852956	0.2978541291	0.232487926	0.302007047	0.2040495575	0.2066904503	0.1529076061	0.2003378382	0.1474112957	0.1824855806	0.4977168622	0.5592144021	0.4323992006	0.4866658829	0.2828505975	0.3870648191	0.2675249138	0.3132499103	0.3133599597	0.3919170366	0.2492610037	0.250855978	0.1313131076	0.2794165304	0.1037378824	0.1053213049	0.459190921	0.5582379381	0.5330540753	0.4762318432	0.2558335998	0.4875548624	0.3115405129	0.3123393198	0.2846623379	0.2813344138	0.2331379065	0.2412985836
13	0.02340682	0.02340682	0.1385040342	0.1326325944	0.1439726125	0.1459198675	NA	NA	NA	NA	0.1825744044	0.2050645983	0.1676154221	0.1889432607	0.0816630144	0.119202105	0.0591573133	0.0599459007	0.0895144142	0.0828088951	0.0638973303	0.059087148	NA	NA	0.0721516068	0.0573479213	0.0819598517	0.1151004499	0.0680569417	0.0713283235	NA	NA	NA	NA	0.1604674371	0.2050201522	0.1342009685	0.1660137863	0.1220312356	NA	NA	NA	0.1003712751	NA	NA	NA	NA	NA	NA	NA	0.1417888107	0.1939476174	0.2492666112	0.1493758329	0.11189895	NA	NA	NA	NA	NA	NA	NA
14	0.00846412	0.00846412	NA	NA	NA	NA	0.053124677	0.0658690418	0.0560722112	0.0596046543	NA	NA	NA	NA	0.0776766679	0.1285983109	0.0663302923	0.067931677	0.0481285596	0.0865066404	0.0702513166	0.0646840225	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0153905372	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0314425229	NA	NA	NA	0.0104542739	0.03355705	0.0106669279	0.0094234438	NA	NA	NA	NA	NA	0.0489535472	0.0318350524	0.0318030055	0.0341884217	0.0291798754	NA	0.0242531005
15	0.01778588	0.01778588	0.0988531609	0.098378718	0.1009036822	0.0969593489	NA	NA	NA	NA	0.0848006457	0.0846199579	0.0892025216	0.090270347	NA	NA	NA	NA	0.060928101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1341900179	0.1117381617	0.1164107619	0.1068587776	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0858600699	0.1204809235	0.1233336904	0.0987292901	0.0558812539	NA	NA	NA	NA	NA	NA	NA
16	0.02378328	0.02378328	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1630587279	NA	0.14292787	0.1366001257	0.1390805166	NA	0.1255886603	0.1340187064	0.0836392236	0.0772492956	NA	NA	0.2423737353	0.2967293265	0.1710269585	0.172055319	0.0992568257	0.0885332412	0.0541034322	0.0700567306	NA	NA	NA	NA	0.2077531299	0.2320500445	0.1979656131	0.227326362	0.253564398	0.2211268237	0.1755479539	0.1738303824	0.14245017	0.4353551049	0.1664134976	0.170547087	NA	NA	NA	NA	0.2576343798	0.5028027603	0.2922367797	0.2936115984	0.3055085908	0.286782168	0.2299158456	0.2337776753
17	0.04272946	0.04272946	0.4663140245	0.4405418727	0.5201299469	0.4842188256	NA	NA	NA	NA	0.512731082	0.5158655702	0.6653217043	0.6828735993	0.2404176698	0.4075335494	0.2286798058	0.2333188572	0.2080046474	0.2708505168	0.2335021492	0.2327603667	NA	NA	0.6342264307	0.5606174567	0.2197718055	0.2743747399	0.2302677782	0.2127389268	0.0660773362	NA	NA	NA	0.838466784	0.6742919139	0.7662013753	0.6651956567	0.2109424394	0.2370174243	0.2184283672	0.2575339246	0.2811284528	0.2382917157	0.2072481828	0.2074313042	0.1147677915	0.3020244071	0.1132948358	0.106475232	0.4887112763	0.6927862604	0.71065985	0.550489137	0.2719427598	0.5500506917	0.3377042449	0.3392175764	0.3846385737	0.2886996964	0.2487422598	0.2547984078
18	0.04053009	0.04053009	0.4934955115	0.4829519555	0.5136341912	0.5070854072	0.1440908651	0.1823846589	0.1491991632	0.1518741916	0.4489866502	0.4276497887	0.4140669672	0.3941561586	0.3350012913	0.459379895	0.3195737788	0.33197488	0.3036110571	0.3088919586	0.3199580873	0.3119775122	0.1577490649	0.1861502326	0.6329776233	0.5254407113	0.3179257046	0.3975745952	0.3109533267	0.3183224752	0.0812684624	0.1505253785	0.1206194857	0.1318572531	0.7426101586	0.5516461966	0.6075353331	0.5055504849	0.2631170811	0.2729770014	0.2989237319	0.3500430357	0.3518395414	0.3032514021	0.2740475713	0.2741679951	0.1069651353	0.3377598229	0.1045650432	0.1183964757	0.5791561916	0.7016662524	0.7284908031	0.5897991211	0.3368111214	0.6503603572	0.4139410778	0.4149950967	0.3933792647	0.3729006473	0.298975422	0.3065348972
19	0.07057999	0.07057999	0.4409733785	0.436831183	0.4358171325	0.4250962826	0.1310207642	0.1232348093	0.1199044177	0.1171541755	0.3876630282	0.375734406	0.3365818615	0.3219272006	0.2668231447	0.3274502271	0.2283196028	0.2322303996	0.2207571823	0.2004431664	0.2136911475	0.2114122842	0.0813743439	0.1161431532	0.4478998232	0.3882303757	0.2420548733	0.2839703845	0.229186684	0.2183797852	0.1399233879	0.2010229524	0.1565452714	0.1856576555	0.597097164	0.5187789102	0.5167563623	0.4375170688	0.2725752968	0.2899334689	0.3035862645	0.3558771018	0.3104491257	0.3010228919	0.2802286407	0.2805732053	0.1650346111	0.4188795996	0.1528378488	0.1658818754	0.4522320129	0.5439213373	0.5484787227	0.4322569793	0.3079233059	0.561674085	0.3750452925	0.3759424991	0.3482344226	0.3076081144	0.2820355059	0.2881958497
20	0.20777054	0.20777054	1.104221686	1.036559967	1.061605696	0.9819013354	0.1785229838	0.2031496063	0.1635735393	0.1687990679	0.7956742122	0.7609202178	0.8755448246	0.8444999205	0.6282874148	0.8090442128	0.5778756242	0.5797646987	0.5429314425	0.5149815463	0.5541290351	0.5614127236	0.2143417976	0.128682085	1.147169265	0.8495850083	0.6095650312	0.8141793928	0.4704606126	0.4816650673	0.2505762635	0.3097392221	0.2464167862	0.2785256297	1.20897958	1.013542096	1.154242946	0.9627962605	0.6545193152	0.7337888883	0.7089583274	0.8311231459	0.8680649234	0.8003775758	0.6676953863	0.6726676747	0.2321525108	0.4918673013	0.1526142742	0.1606347506	0.9318440554	1.119123551	0.9954399033	0.8736436096	0.6087328907	1.210299784	0.737071216	0.7402486218	0.6918956916	0.6193142489	0.5243589762	0.5336012467
